region_nombre,Fecha,avance_porcentual,cobertura_porcentual,rango_cobertura
Metropolitana,2021-01-04,0.07,0.0,<50
Aysén,2021-01-05,0.0,0.0,<50
Antofagasta,2021-01-05,0.0,0.0,<50
Arica y Parinacota,2021-01-05,0.0,0.0,<50
Atacama,2021-01-05,0.0,0.0,<50
Coquimbo,2021-01-05,0.0,0.0,<50
Araucanía,2021-01-05,0.07,0.0,<50
Los Lagos,2021-01-05,0.04,0.0,<50
Los Ríos,2021-01-05,0.04,0.0,<50
Magallanes,2021-01-05,0.09,0.0,<50
Tarapacá,2021-01-05,0.03,0.0,<50
Valparaíso,2021-01-05,0.03,0.0,<50
Ñuble,2021-01-05,0.0,0.0,<50
Biobío,2021-01-05,0.12,0.0,<50
O’Higgins,2021-01-05,0.0,0.0,<50
Maule,2021-01-05,0.04,0.0,<50
Metropolitana,2021-01-05,0.07,0.0,<50
Aysén,2021-01-06,0.0,0.0,<50
Antofagasta,2021-01-06,0.0,0.0,<50
Arica y Parinacota,2021-01-06,0.0,0.0,<50
Atacama,2021-01-06,0.0,0.0,<50
Coquimbo,2021-01-06,0.0,0.0,<50
Araucanía,2021-01-06,0.07,0.0,<50
Los Lagos,2021-01-06,0.06,0.0,<50
Los Ríos,2021-01-06,0.04,0.0,<50
Magallanes,2021-01-06,0.09,0.0,<50
Tarapacá,2021-01-06,0.04,0.0,<50
Valparaíso,2021-01-06,0.03,0.0,<50
Ñuble,2021-01-06,0.0,0.0,<50
Biobío,2021-01-06,0.12,0.0,<50
O’Higgins,2021-01-06,0.0,0.0,<50
Maule,2021-01-06,0.04,0.0,<50
Metropolitana,2021-01-06,0.07,0.0,<50
Aysén,2021-01-07,0.0,0.0,<50
Antofagasta,2021-01-07,0.0,0.0,<50
Arica y Parinacota,2021-01-07,0.0,0.0,<50
Atacama,2021-01-07,0.0,0.0,<50
Coquimbo,2021-01-07,0.0,0.0,<50
Araucanía,2021-01-07,0.07,0.0,<50
Los Lagos,2021-01-07,0.06,0.0,<50
Los Ríos,2021-01-07,0.04,0.0,<50
Magallanes,2021-01-07,0.09,0.0,<50
Tarapacá,2021-01-07,0.04,0.0,<50
Valparaíso,2021-01-07,0.03,0.0,<50
Ñuble,2021-01-07,0.0,0.0,<50
Biobío,2021-01-07,0.12,0.0,<50
O’Higgins,2021-01-07,0.0,0.0,<50
Maule,2021-01-07,0.04,0.0,<50
Metropolitana,2021-01-07,0.07,0.0,<50
Aysén,2021-01-08,0.0,0.0,<50
Antofagasta,2021-01-08,0.0,0.0,<50
Arica y Parinacota,2021-01-08,0.0,0.0,<50
Atacama,2021-01-08,0.0,0.0,<50
Coquimbo,2021-01-08,0.0,0.0,<50
Araucanía,2021-01-08,0.07,0.0,<50
Los Lagos,2021-01-08,0.06,0.0,<50
Los Ríos,2021-01-08,0.04,0.0,<50
Magallanes,2021-01-08,0.09,0.0,<50
Tarapacá,2021-01-08,0.04,0.0,<50
Valparaíso,2021-01-08,0.03,0.0,<50
Ñuble,2021-01-08,0.0,0.0,<50
Biobío,2021-01-08,0.12,0.0,<50
O’Higgins,2021-01-08,0.0,0.0,<50
Maule,2021-01-08,0.04,0.0,<50
Metropolitana,2021-01-08,0.07,0.0,<50
Aysén,2021-01-09,0.0,0.0,<50
Antofagasta,2021-01-09,0.0,0.0,<50
Arica y Parinacota,2021-01-09,0.0,0.0,<50
Atacama,2021-01-09,0.0,0.0,<50
Coquimbo,2021-01-09,0.0,0.0,<50
Araucanía,2021-01-09,0.07,0.0,<50
Los Lagos,2021-01-09,0.06,0.0,<50
Los Ríos,2021-01-09,0.04,0.0,<50
Magallanes,2021-01-09,0.09,0.0,<50
Tarapacá,2021-01-09,0.04,0.0,<50
Valparaíso,2021-01-09,0.03,0.0,<50
Ñuble,2021-01-09,0.0,0.0,<50
Biobío,2021-01-09,0.12,0.0,<50
O’Higgins,2021-01-09,0.0,0.0,<50
Maule,2021-01-09,0.04,0.0,<50
Metropolitana,2021-01-09,0.07,0.0,<50
Aysén,2021-01-10,0.0,0.0,<50
Antofagasta,2021-01-10,0.0,0.0,<50
Arica y Parinacota,2021-01-10,0.0,0.0,<50
Atacama,2021-01-10,0.0,0.0,<50
Coquimbo,2021-01-10,0.0,0.0,<50
Araucanía,2021-01-10,0.07,0.0,<50
Los Lagos,2021-01-10,0.06,0.0,<50
Los Ríos,2021-01-10,0.04,0.0,<50
Magallanes,2021-01-10,0.09,0.0,<50
Tarapacá,2021-01-10,0.04,0.0,<50
Valparaíso,2021-01-10,0.03,0.0,<50
Ñuble,2021-01-10,0.0,0.0,<50
Biobío,2021-01-10,0.12,0.0,<50
O’Higgins,2021-01-10,0.0,0.0,<50
Maule,2021-01-10,0.04,0.0,<50
Metropolitana,2021-01-10,0.07,0.0,<50
Aysén,2021-01-11,0.0,0.0,<50
Antofagasta,2021-01-11,0.0,0.0,<50
Arica y Parinacota,2021-01-11,0.0,0.0,<50
Atacama,2021-01-11,0.0,0.0,<50
Coquimbo,2021-01-11,0.0,0.0,<50
Araucanía,2021-01-11,0.07,0.0,<50
Los Lagos,2021-01-11,0.06,0.0,<50
Los Ríos,2021-01-11,0.04,0.0,<50
Magallanes,2021-01-11,0.09,0.0,<50
Tarapacá,2021-01-11,0.04,0.0,<50
Valparaíso,2021-01-11,0.03,0.0,<50
Ñuble,2021-01-11,0.0,0.0,<50
Biobío,2021-01-11,0.12,0.0,<50
O’Higgins,2021-01-11,0.0,0.0,<50
Maule,2021-01-11,0.04,0.0,<50
Metropolitana,2021-01-11,0.07,0.0,<50
Aysén,2021-01-12,0.0,0.0,<50
Antofagasta,2021-01-12,0.0,0.0,<50
Arica y Parinacota,2021-01-12,0.0,0.0,<50
Atacama,2021-01-12,0.0,0.0,<50
Coquimbo,2021-01-12,0.0,0.0,<50
Araucanía,2021-01-12,0.07,0.0,<50
Los Lagos,2021-01-12,0.06,0.0,<50
Los Ríos,2021-01-12,0.04,0.0,<50
Magallanes,2021-01-12,0.09,0.0,<50
Tarapacá,2021-01-12,0.04,0.0,<50
Valparaíso,2021-01-12,0.03,0.0,<50
Ñuble,2021-01-12,0.0,0.0,<50
Biobío,2021-01-12,0.12,0.0,<50
O’Higgins,2021-01-12,0.0,0.0,<50
Maule,2021-01-12,0.04,0.0,<50
Metropolitana,2021-01-12,0.07,0.0,<50
Aysén,2021-01-13,0.0,0.0,<50
Antofagasta,2021-01-13,0.0,0.0,<50
Arica y Parinacota,2021-01-13,0.0,0.0,<50
Atacama,2021-01-13,0.0,0.0,<50
Coquimbo,2021-01-13,0.0,0.0,<50
Araucanía,2021-01-13,0.07,0.0,<50
Los Lagos,2021-01-13,0.06,0.0,<50
Los Ríos,2021-01-13,0.04,0.0,<50
Magallanes,2021-01-13,0.09,0.07,<50
Tarapacá,2021-01-13,0.04,0.0,<50
Valparaíso,2021-01-13,0.03,0.0,<50
Ñuble,2021-01-13,0.0,0.0,<50
Biobío,2021-01-13,0.12,0.0,<50
O’Higgins,2021-01-13,0.0,0.0,<50
Maule,2021-01-13,0.04,0.0,<50
Metropolitana,2021-01-13,0.07,0.01,<50
Aysén,2021-01-14,0.0,0.0,<50
Antofagasta,2021-01-14,0.0,0.0,<50
Arica y Parinacota,2021-01-14,0.0,0.0,<50
Atacama,2021-01-14,0.0,0.0,<50
Coquimbo,2021-01-14,0.0,0.0,<50
Araucanía,2021-01-14,0.07,0.07,<50
Los Lagos,2021-01-14,0.06,0.0,<50
Los Ríos,2021-01-14,0.04,0.0,<50
Magallanes,2021-01-14,0.09,0.09,<50
Tarapacá,2021-01-14,0.04,0.0,<50
Valparaíso,2021-01-14,0.07,0.0,<50
Ñuble,2021-01-14,0.0,0.0,<50
Biobío,2021-01-14,0.13,0.09,<50
O’Higgins,2021-01-14,0.0,0.0,<50
Maule,2021-01-14,0.04,0.0,<50
Metropolitana,2021-01-14,0.09,0.04,<50
Aysén,2021-01-15,0.0,0.0,<50
Antofagasta,2021-01-15,0.0,0.0,<50
Arica y Parinacota,2021-01-15,0.0,0.0,<50
Atacama,2021-01-15,0.0,0.0,<50
Coquimbo,2021-01-15,0.0,0.0,<50
Araucanía,2021-01-15,0.07,0.07,<50
Los Lagos,2021-01-15,0.06,0.0,<50
Los Ríos,2021-01-15,0.04,0.0,<50
Magallanes,2021-01-15,0.09,0.09,<50
Tarapacá,2021-01-15,0.04,0.0,<50
Valparaíso,2021-01-15,0.07,0.0,<50
Ñuble,2021-01-15,0.0,0.0,<50
Biobío,2021-01-15,0.13,0.12,<50
O’Higgins,2021-01-15,0.0,0.0,<50
Maule,2021-01-15,0.04,0.0,<50
Metropolitana,2021-01-15,0.1,0.07,<50
Aysén,2021-01-16,0.0,0.0,<50
Antofagasta,2021-01-16,0.0,0.0,<50
Arica y Parinacota,2021-01-16,0.0,0.0,<50
Atacama,2021-01-16,0.0,0.0,<50
Coquimbo,2021-01-16,0.0,0.0,<50
Araucanía,2021-01-16,0.07,0.07,<50
Los Lagos,2021-01-16,0.06,0.0,<50
Los Ríos,2021-01-16,0.04,0.0,<50
