region_nombre,Fecha,primera_dosis,segunda_dosis,unica_dosis,region,pob_2021,avance_vacunacion,cobertura_vacunacion,avance_porcentual,cobertura_porcentual
Araucanía,2021-02-03,13334.0,697.0,0.0,9,1019548,13334.0,697.0,1.31,0.07
Los Lagos,2021-02-03,9742.0,535.0,0.0,10,897303,9742.0,535.0,1.09,0.06
Los Ríos,2021-02-03,5511.0,145.0,0.0,14,407818,5511.0,145.0,1.35,0.04
Magallanes,2021-02-03,3606.0,163.0,0.0,12,179949,3606.0,163.0,2.0,0.09
Tarapacá,2021-02-03,2498.0,157.0,0.0,1,391165,2498.0,157.0,0.64,0.04
Valparaíso,2021-02-03,19414.0,587.0,0.0,5,1979373,19414.0,587.0,0.98,0.03
Ñuble,2021-02-03,13474.0,0.0,0.0,16,514508,13474.0,0.0,2.62,0.0
Biobío,2021-02-03,28221.0,1966.0,0.0,8,1670590,28221.0,1966.0,1.69,0.12
O’Higgins,2021-02-03,18983.0,0.0,0.0,6,1000959,18983.0,0.0,1.9,0.0
Maule,2021-02-03,14339.0,498.0,0.0,7,1143012,14339.0,498.0,1.25,0.04
Metropolitana,2021-02-03,71901.0,5656.0,0.0,13,8242459,71901.0,5656.0,0.87,0.07
Aysén,2021-02-04,4934.0,0.0,0.0,11,107737,4934.0,0.0,4.58,0.0
Antofagasta,2021-02-04,12790.0,0.0,0.0,2,703746,12790.0,0.0,1.82,0.0
Arica y Parinacota,2021-02-04,7243.0,0.0,0.0,15,255380,7243.0,0.0,2.84,0.0
Atacama,2021-02-04,15288.0,6.0,0.0,3,316737,15288.0,6.0,4.83,0.0
Coquimbo,2021-02-04,17626.0,0.0,0.0,4,848079,17626.0,0.0,2.08,0.0
Araucanía,2021-02-04,22445.0,697.0,0.0,9,1019548,22445.0,697.0,2.2,0.07
Los Lagos,2021-02-04,18286.0,535.0,0.0,10,897303,18286.0,535.0,2.04,0.06
Los Ríos,2021-02-04,10191.0,145.0,0.0,14,407818,10191.0,145.0,2.5,0.04
Magallanes,2021-02-04,6713.0,163.0,0.0,12,179949,6713.0,163.0,3.73,0.09
Tarapacá,2021-02-04,4514.0,157.0,0.0,1,391165,4514.0,157.0,1.15,0.04
Valparaíso,2021-02-04,37413.0,1424.0,0.0,5,1979373,37413.0,1424.0,1.89,0.07
Ñuble,2021-02-04,20180.0,0.0,0.0,16,514508,20180.0,0.0,3.92,0.0
Biobío,2021-02-04,46732.0,1966.0,0.0,8,1670590,46732.0,1966.0,2.8,0.12
O’Higgins,2021-02-04,28347.0,0.0,0.0,6,1000959,28347.0,0.0,2.83,0.0
Maule,2021-02-04,26644.0,498.0,0.0,7,1143012,26644.0,498.0,2.33,0.04
Metropolitana,2021-02-04,135230.0,6927.0,0.0,13,8242459,135230.0,6927.0,1.64,0.08
Aysén,2021-02-05,6070.0,0.0,0.0,11,107737,6070.0,0.0,5.63,0.0
Antofagasta,2021-02-05,15849.0,0.0,0.0,2,703746,15849.0,0.0,2.25,0.0
Arica y Parinacota,2021-02-05,9637.0,0.0,0.0,15,255380,9637.0,0.0,3.77,0.0
Atacama,2021-02-05,20036.0,6.0,0.0,3,316737,20036.0,6.0,6.33,0.0
Coquimbo,2021-02-05,22451.0,0.0,0.0,4,848079,22451.0,0.0,2.65,0.0
Araucanía,2021-02-05,30498.0,697.0,0.0,9,1019548,30498.0,697.0,2.99,0.07
Los Lagos,2021-02-05,26912.0,535.0,0.0,10,897303,26912.0,535.0,3.0,0.06
Los Ríos,2021-02-05,14574.0,145.0,0.0,14,407818,14574.0,145.0,3.57,0.04
