Fecha,cantidad,dosis
2021-04-10,14827.0,segunda
2021-04-11,1355.0,segunda
2021-04-12,158647.0,segunda
2021-04-13,159885.0,segunda
2021-04-14,149518.0,segunda
2021-04-15,143945.0,segunda
2021-04-16,132621.0,segunda
2021-04-17,14337.0,segunda
2021-04-18,1755.0,segunda
2021-04-19,148434.0,segunda
2021-04-20,146824.0,segunda
2021-04-21,144846.0,segunda
2021-04-22,143186.0,segunda
2021-04-23,143104.0,segunda
2021-04-24,11873.0,segunda
2021-04-25,688.0,segunda
2021-04-26,152822.0,segunda
2021-04-27,131501.0,segunda
2021-04-28,124916.0,segunda
2021-04-29,123996.0,segunda
2021-04-30,36742.0,segunda
2021-05-01,1200.0,segunda
2021-05-02,660.0,segunda
2021-05-03,75368.0,segunda
2021-05-04,87970.0,segunda
2021-05-05,92986.0,segunda
2021-05-06,76098.0,segunda
2021-05-07,63368.0,segunda
2021-05-08,8127.0,segunda
2021-05-09,443.0,segunda
2021-05-10,69891.0,segunda
2021-05-11,84548.0,segunda
2021-05-12,77807.0,segunda
2021-05-13,59962.0,segunda
2021-05-14,55662.0,segunda
2021-05-15,403.0,segunda
2021-05-16,170.0,segunda
2021-05-17,46666.0,segunda
2021-05-18,47294.0,segunda
2021-05-19,40932.0,segunda
2021-05-20,63074.0,segunda
2021-05-21,1348.0,segunda
2021-05-22,6253.0,segunda
2021-05-23,586.0,segunda
2021-05-24,60829.0,segunda
2021-05-25,56453.0,segunda
2021-05-26,48124.0,segunda
2021-05-27,36034.0,segunda
2021-05-28,40580.0,segunda
2021-05-29,5746.0,segunda
2021-05-30,966.0,segunda
2021-05-31,59368.0,segunda
2021-06-01,71215.0,segunda
2021-06-02,71577.0,segunda
2021-06-03,68356.0,segunda
2021-06-04,68180.0,segunda
2021-06-05,12971.0,segunda
2021-06-06,1215.0,segunda
2021-06-07,99751.0,segunda
2021-06-08,103953.0,segunda
2021-06-09,99909.0,segunda
2021-06-10,93274.0,segunda
2021-06-11,93804.0,segunda
2021-06-12,9357.0,segunda
2021-06-13,589.0,segunda
2021-06-14,111767.0,segunda
2021-06-15,121292.0,segunda
2021-06-16,115713.0,segunda
2021-06-17,107676.0,segunda
2021-06-18,41014.0,segunda
2020-12-24,0.0,unica
2020-12-25,0.0,unica
2020-12-26,0.0,unica
2020-12-27,0.0,unica
2020-12-28,0.0,unica
2020-12-29,0.0,unica
2020-12-30,0.0,unica
2020-12-31,0.0,unica
2021-01-01,0.0,unica
2021-01-02,0.0,unica
2021-01-03,0.0,unica
2021-01-04,0.0,unica
2021-01-05,0.0,unica
2021-01-06,0.0,unica
2021-01-07,0.0,unica
2021-01-08,0.0,unica
2021-01-09,0.0,unica
2021-01-10,0.0,unica
2021-01-11,0.0,unica
2021-01-12,0.0,unica
2021-01-13,0.0,unica
2021-01-14,0.0,unica
2021-01-15,0.0,unica
2021-01-16,0.0,unica
2021-01-17,0.0,unica
2021-01-18,0.0,unica
2021-01-19,0.0,unica
2021-01-20,0.0,unica
2021-01-21,0.0,unica
2021-01-22,0.0,unica
2021-01-23,0.0,unica
2021-01-24,0.0,unica
2021-01-25,0.0,unica
2021-01-26,0.0,unica
2021-01-27,0.0,unica
2021-01-28,0.0,unica
2021-01-29,0.0,unica
2021-01-30,0.0,unica
2021-01-31,0.0,unica
2021-02-01,0.0,unica
2021-02-02,0.0,unica
2021-02-03,0.0,unica
2021-02-04,0.0,unica
2021-02-05,0.0,unica
2021-02-06,0.0,unica
2021-02-07,0.0,unica
2021-02-08,0.0,unica
2021-02-09,0.0,unica
2021-02-10,0.0,unica
2021-02-11,0.0,unica
2021-02-12,0.0,unica
2021-02-13,0.0,unica
2021-02-14,0.0,unica
2021-02-15,0.0,unica
2021-02-16,0.0,unica
2021-02-17,0.0,unica
2021-02-18,0.0,unica
2021-02-19,0.0,unica
2021-02-20,0.0,unica
2021-02-21,0.0,unica
2021-02-22,0.0,unica
2021-02-23,0.0,unica
2021-02-24,0.0,unica
2021-02-25,0.0,unica
2021-02-26,0.0,unica
2021-02-27,0.0,unica
2021-02-28,0.0,unica
2021-03-01,0.0,unica
2021-03-02,0.0,unica
2021-03-03,0.0,unica
2021-03-04,0.0,unica
2021-03-05,0.0,unica
2021-03-06,0.0,unica
2021-03-07,0.0,unica
2021-03-08,0.0,unica
2021-03-09,0.0,unica
2021-03-10,0.0,unica
2021-03-11,0.0,unica
2021-03-12,0.0,unica
2021-03-13,0.0,unica
2021-03-14,0.0,unica
2021-03-15,0.0,unica
2021-03-16,0.0,unica
2021-03-17,0.0,unica
2021-03-18,0.0,unica
2021-03-19,0.0,unica
2021-03-20,0.0,unica
2021-03-21,0.0,unica
2021-03-22,0.0,unica
2021-03-23,0.0,unica
2021-03-24,0.0,unica
2021-03-25,0.0,unica
2021-03-26,0.0,unica
2021-03-27,0.0,unica
2021-03-28,0.0,unica
2021-03-29,0.0,unica
2021-03-30,0.0,unica
2021-03-31,0.0,unica
2021-04-01,0.0,unica
2021-04-02,0.0,unica
2021-04-03,0.0,unica
2021-04-04,0.0,unica
2021-04-05,0.0,unica
2021-04-06,0.0,unica
2021-04-07,0.0,unica
2021-04-08,0.0,unica
2021-04-09,0.0,unica
2021-04-10,0.0,unica
2021-04-11,0.0,unica
2021-04-12,0.0,unica
2021-04-13,0.0,unica
2021-04-14,0.0,unica
2021-04-15,0.0,unica
2021-04-16,0.0,unica
2021-04-17,0.0,unica
2021-04-18,0.0,unica
2021-04-19,0.0,unica
2021-04-20,0.0,unica
2021-04-21,0.0,unica
2021-04-22,0.0,unica
2021-04-23,0.0,unica
2021-04-24,0.0,unica
2021-04-25,0.0,unica
2021-04-26,0.0,unica
2021-04-27,0.0,unica
2021-04-28,0.0,unica
2021-04-29,0.0,unica
2021-04-30,0.0,unica
2021-05-01,0.0,unica
2021-05-02,0.0,unica
2021-05-03,0.0,unica
2021-05-04,0.0,unica
2021-05-05,0.0,unica
2021-05-06,0.0,unica
2021-05-07,0.0,unica
2021-05-08,0.0,unica
2021-05-09,0.0,unica
2021-05-10,0.0,unica
2021-05-11,0.0,unica
2021-05-12,0.0,unica
2021-05-13,0.0,unica
2021-05-14,0.0,unica
2021-05-15,0.0,unica
2021-05-16,0.0,unica
2021-05-17,0.0,unica
2021-05-18,0.0,unica
2021-05-19,0.0,unica
2021-05-20,0.0,unica
2021-05-21,0.0,unica
2021-05-22,0.0,unica
2021-05-23,0.0,unica
2021-05-24,0.0,unica
2021-05-25,0.0,unica
2021-05-26,0.0,unica
2021-05-27,0.0,unica
2021-05-28,0.0,unica
2021-05-29,0.0,unica
2021-05-30,0.0,unica
2021-05-31,72.0,unica
2021-06-01,10365.0,unica
2021-06-02,23297.0,unica
2021-06-03,39542.0,unica
2021-06-04,34288.0,unica
2021-06-05,9902.0,unica
2021-06-06,1790.0,unica
2021-06-07,27443.0,unica
2021-06-08,20058.0,unica
2021-06-09,16673.0,unica
2021-06-10,13114.0,unica
2021-06-11,4047.0,unica
2021-06-12,392.0,unica
2021-06-13,49.0,unica
2021-06-14,4082.0,unica
2021-06-15,3665.0,unica
2021-06-16,3886.0,unica
2021-06-17,2974.0,unica
2021-06-18,2224.0,unica
